#iuzno	cellid	landflag	ivertcon	surfdep	vks	thtr	thts	thti	eps
1	1	1	0	0.2	0.45	0.07	0.38	0.15	3.5
2	2	1	0	0.2	0.44	0.07	0.38	0.15	3.5
3	3	1	0	0.2	0.44	0.07	0.38	0.15	3.5
4	4	1	0	0.2	0.4	0.07	0.38	0.15	3.5
5	5	1	0	0.2	0.4	0.07	0.38	0.15	3.5
6	6	1	0	0.2	0.43	0.07	0.38	0.15	3.5
7	7	1	0	0.2	0.45	0.07	0.38	0.15	3.5
8	8	1	0	0.2	0.48	0.07	0.38	0.15	3.5
9	9	1	0	0.2	0.48	0.07	0.38	0.15	3.5
10	10	1	0	0.2	0.48	0.07	0.38	0.15	3.5
11	11	1	0	0.2	0.51	0.07	0.38	0.15	3.5
12	12	1	0	0.2	0.57	0.07	0.38	0.15	3.5
13	13	1	0	0.2	0.58	0.07	0.38	0.15	3.5
14	14	1	0	0.2	0.39	0.07	0.37	0.15	3.5
15	15	1	0	0.2	0.42	0.07	0.38	0.15	3.5
16	16	1	0	0.2	0.47	0.07	0.38	0.15	3.5
17	17	1	0	0.2	0.42	0.07	0.38	0.15	3.5
18	18	1	0	0.2	0.41	0.07	0.38	0.15	3.5
19	19	1	0	0.2	0.44	0.07	0.38	0.15	3.5
20	20	1	0	0.2	0.47	0.07	0.38	0.15	3.5
21	21	1	0	0.2	0.45	0.07	0.38	0.15	3.5
22	22	1	0	0.2	0.43	0.07	0.38	0.15	3.5
23	23	1	0	0.2	0.44	0.07	0.38	0.15	3.5
24	24	1	0	0.2	0.5	0.07	0.38	0.15	3.5
25	25	1	0	0.2	0.48	0.07	0.38	0.15	3.5
26	26	1	0	0.2	0.41	0.07	0.38	0.15	3.5
27	27	1	0	0.2	0.47	0.07	0.38	0.15	3.5
28	28	1	0	0.2	0.5	0.07	0.38	0.15	3.5
29	29	1	0	0.2	0.53	0.07	0.38	0.15	3.5
30	30	1	0	0.2	0.52	0.07	0.38	0.15	3.5
31	31	1	0	0.2	0.5	0.07	0.38	0.15	3.5
32	32	1	0	0.2	0.57	0.07	0.38	0.15	3.5
33	33	1	0	0.2	0.62	0.07	0.38	0.15	3.5
34	34	1	0	0.2	0.57	0.07	0.38	0.15	3.5
35	35	1	0	0.2	0.47	0.07	0.38	0.15	3.5
36	36	1	0	0.2	0.38	0.08	0.39	0.15	3.5
37	37	1	0	0.2	0.34	0.07	0.37	0.15	3.5
38	38	1	0	0.2	0.38	0.07	0.37	0.15	3.5
39	39	1	0	0.2	0.4	0.07	0.38	0.15	3.5
40	40	1	0	0.2	0.44	0.07	0.38	0.15	3.5
41	41	1	0	0.2	0.44	0.07	0.38	0.15	3.5
42	42	1	0	0.2	0.39	0.07	0.38	0.15	3.5
43	43	1	0	0.2	0.39	0.07	0.38	0.15	3.5
44	44	1	0	0.2	0.38	0.07	0.38	0.15	3.5
45	45	1	0	0.2	0.45	0.07	0.38	0.15	3.5
46	46	1	0	0.2	0.41	0.07	0.38	0.15	3.5
47	47	1	0	0.2	0.44	0.07	0.38	0.15	3.5
48	48	1	0	0.2	0.45	0.07	0.38	0.15	3.5
49	49	1	0	0.2	0.43	0.07	0.38	0.15	3.5
50	50	1	0	0.2	0.44	0.07	0.38	0.15	3.5
51	51	1	0	0.2	0.38	0.07	0.38	0.15	3.5
52	52	1	0	0.2	0.44	0.07	0.38	0.15	3.5
53	53	1	0	0.2	0.41	0.07	0.38	0.15	3.5
54	54	1	0	0.2	0.4	0.07	0.38	0.15	3.5
55	55	1	0	0.2	0.42	0.07	0.38	0.15	3.5
56	56	1	0	0.2	0.48	0.07	0.38	0.15	3.5
57	57	1	0	0.2	0.54	0.07	0.38	0.15	3.5
58	58	1	0	0.2	0.53	0.07	0.38	0.15	3.5
59	59	1	0	0.2	0.53	0.07	0.38	0.15	3.5
60	60	1	0	0.2	0.55	0.07	0.38	0.15	3.5
61	61	1	0	0.2	0.56	0.07	0.38	0.15	3.5
62	62	1	0	0.2	0.53	0.07	0.38	0.15	3.5
63	63	1	0	0.2	0.53	0.07	0.38	0.15	3.5
64	64	1	0	0.2	0.33	0.07	0.37	0.15	3.5
65	65	1	0	0.2	0.34	0.07	0.37	0.15	3.5
66	66	1	0	0.2	0.35	0.07	0.37	0.15	3.5
67	67	1	0	0.2	0.34	0.07	0.37	0.15	3.5
68	68	1	0	0.2	0.36	0.07	0.37	0.15	3.5
69	69	1	0	0.2	0.41	0.07	0.37	0.15	3.5
70	70	1	0	0.2	0.4	0.07	0.37	0.15	3.5
71	71	1	0	0.2	0.43	0.07	0.38	0.15	3.5
72	72	1	0	0.2	0.45	0.07	0.38	0.15	3.5
73	73	1	0	0.2	0.39	0.07	0.38	0.15	3.5
74	74	1	0	0.2	0.4	0.07	0.38	0.15	3.5
75	75	1	0	0.2	0.41	0.07	0.38	0.15	3.5
76	76	1	0	0.2	0.41	0.07	0.38	0.15	3.5
77	77	1	0	0.2	0.43	0.07	0.38	0.15	3.5
78	78	1	0	0.2	0.43	0.07	0.38	0.15	3.5
79	79	1	0	0.2	0.38	0.07	0.38	0.15	3.5
